firstName,releaseYear,title
Bean,1990,Mr. Bean
Irma,1990,Mr. Bean
James,1990,In Living Color
Jake,1990,In Living Color
Jeeves,1990,Jeeves and Wooster
Bertie,1990,Jeeves and Wooster
Oofy,1990,Jeeves and Wooster
Joel,1990,Northern Exposure
Franz,1990,Northern Exposure
Mikhail,1990,Northern Exposure
Dale,1990,Twin Peaks
Sheriff,1990,Twin Peaks
Shelly,1990,Twin Peaks
Marshall,1991,"Eerie, Indiana"
Eunice,1991,"Eerie, Indiana"
Simon,1991,"Eerie, Indiana"
Batman,1992,Batman: The Animated Series
Bruce,1992,Batman: The Animated Series
Thomas,1992,Batman: The Animated Series
Eddie,1991,Bottom
Richie,1991,Bottom
Spudgun,1991,Bottom
Larry,1992,The Larry Sanders Show
Hank,1992,The Larry Sanders Show
Phil,1992,The Larry Sanders Show
Edina,1992,Absolutely Fabulous
Patsy,1992,Absolutely Fabulous
Booberella,1992,Absolutely Fabulous
Brisco,1993,"The Adventures of Brisco County, Jr."
Bowler,1993,"The Adventures of Brisco County, Jr."
Socrates,1993,"The Adventures of Brisco County, Jr."
Delenn,1993,Babylon 5
Stephen,1993,Babylon 5
Cory,1993,Boy Meets World
Ben,1993,Boy Meets World
Rory,1993,Boy Meets World
Edward,1993,Cracker
Jane,1993,Cracker
Mark,1993,Cracker
Frasier,1993,Frasier
Daphne,1993,Frasier
Coffeeshop,1993,Frasier
John,1993,Homicide: Life on the Street
Meldrick,1993,Homicide: Life on the Street
Al,1993,Homicide: Life on the Street
Preparation,1993,Late Night with Conan O'Brien
Fedex,1993,Late Night with Conan O'Brien
Benjamin,1993,Star Trek: Deep Space Nine
Benny,1993,Star Trek: Deep Space Nine
Fox,1993,The X-Files
Dana,1993,The X-Files
Oss,1993,The X-Files
Constable,1994,Due South
German,1994,Due South
Harding,1994,Due South
Rachel,1994,Friends
Monica,1994,Friends
Goliath,1994,Gargoyles
Morgan,1994,Gargoyles
Thailog,1994,Gargoyles
Alan,1994,"Knowing Me, Knowing You with Alan Partridge"
Bridie,1994,"Knowing Me, Knowing You with Alan Partridge"
Charlotte,1994,"Knowing Me, Knowing You with Alan Partridge"
Patty,1994,My So-Called Life
Rickie,1994,My So-Called Life
Angela,1994,My So-Called Life
Stig,1994,The Kingdom
Sigrid,1994,The Kingdom
Rigmor,1994,The Kingdom
Geraldine,1994,The Vicar of Dibley
Hugo,1994,The Vicar of Dibley
Ted,1995,Father Ted
Dougal,1995,Father Ted
Jack,1995,Father Ted
Andy,1994,Life with Louie
Little,1994,Life with Louie
Josh,1995,Mr. Show with Bob and David
Dave,1995,NewsRadio
Jimmy,1995,NewsRadio
Matthew,1995,NewsRadio
Shinji,1995,Neon Genesis Evangelion
Shipwide,1995,Neon Genesis Evangelion
Yukina,1995,Neon Genesis Evangelion
Frank,1996,Millennium
Catherine,1996,Millennium
Peter,1996,Millennium
Clark,1996,Superman: The Animated Series
Bizarro,1996,Superman: The Animated Series
Christopher,1997,Brass Eye
Ted,1997,Brass Eye
Austen,1997,Brass Eye
Buffy,1997,Buffy the Vampire Slayer
Buffybot,1997,Buffy the Vampire Slayer
Faith,1997,Buffy the Vampire Slayer
Daria,1997,Daria
Jane,1997,Daria
Quinn,1997,Daria
Jonathan,1997,Jonathan Creek
Maddy,1997,Jonathan Creek
Adam,1997,Jonathan Creek
Warden,1997,Oz
Tim,1997,Oz
Vern,1997,Oz
Spawn,1997,Spawn
Cogliostro,1997,Spawn
Wanda,1997,Spawn
Colonel,1997,Stargate SG-1
Brigadier,1997,Stargate SG-1
Jack,1997,Stargate SG-1
Stan,1997,South Park
Eric,1997,South Park
Randy,1997,South Park
Alan,1997,I'm Alan Partridge
Americas,1997,I'm Alan Partridge
Michael,1997,I'm Alan Partridge
Denise,1998,The Royle Family
Dave,1998,The Royle Family
Tony,1999,The Sopranos
Jennifer,1999,The Sopranos
Carmela,1999,The Sopranos
Terry,1999,Batman Beyond
Batman,1999,Batman Beyond
Guard,1999,Batman Beyond
Philip,1999,Futurama
Zoidberg,1999,Futurama
Hubert,1999,Futurama
Eric,1998,That '70s Show
Donna,1998,That '70s Show
Jackie,1998,That '70s Show
Dan,1998,Sports Night
Casey,1998,Sports Night
Dana,1998,Sports Night
Announcer,1993,Bill Nye the Science Guy
Timmy,1993,Bill Nye the Science Guy
Tintin,1991,The Adventures of Tintin
Le,1991,The Adventures of Tintin
Peter,1999,Family Guy
Stewie,1999,Family Guy
Brian,1999,Family Guy
Himura,1996,Rurouni Kenshin
Kenshin,1996,Rurouni Kenshin
Kaoru,1996,Rurouni Kenshin
Barbara,1999,The League of Gentlemen
Charlie,1999,The League of Gentlemen
Stuart,1999,Queer as Folk
Vince,1999,Queer as Folk
Nathan,1999,Queer as Folk
John,1999,Farscape
Dominar,1999,Farscape
Future,1999,Farscape
Tim,1999,Spaced
Daisy,1999,Spaced
Amber,1999,Spaced
Lindsay,1999,Freaks and Geeks
Sam,1999,Freaks and Geeks
Daniel,1999,Freaks and Geeks
Jerri,1999,Strangers with Candy
Geoffrey,1999,Strangers with Candy
Sears,1999,Strangers with Candy
Brendon,1999,Home Movies
Walter,1999,Home Movies
Tyrone,1999,Third Watch
John,1999,Third Watch
Josiah,1999,The West Wing
Sam,1999,The West Wing
Cj,1999,The West Wing
Olivia,1999,Law & Order: Special Victims Unit
Spongebob,1999,SpongeBob SquarePants
Gary,1999,SpongeBob SquarePants
Malcolm,2000,Malcolm in the Middle
Hal,2000,Malcolm in the Middle
Spike,1998,Cowboy Bebop
Jet,1998,Cowboy Bebop
Faye,1998,Cowboy Bebop
Courage,1999,Courage the Cowardly Dog
Muriel,1999,Courage the Cowardly Dog
Randy,1999,Courage the Cowardly Dog
Dib,2001,Invader ZIM
Steve,2000,Coupling
Jane,2000,Coupling
Susan,2000,Coupling
Lorelai,2000,Gilmore Girls
Rory,2000,Gilmore Girls
Lane,2000,Gilmore Girls
Ali,2000,Da Ali G Show
Borat,2000,Da Ali G Show
Brüno,2000,Da Ali G Show
Nate,2001,Six Feet Under
David,2001,Six Feet Under
Ruth,2001,Six Feet Under
Vash,1998,Trigun
Meryl,1998,Trigun
Milly,1998,Trigun
Soames,2002,The Forsyte Saga
Jolyon,2002,The Forsyte Saga
Bernard,2000,Black Books
Manny,2000,Black Books
Fran,2000,Black Books
Brian,1999,Queer as Folk
Michael,1999,Queer as Folk
Justin,1999,Queer as Folk
Larry,2000,Curb Your Enthusiasm
Cheryl,2000,Curb Your Enthusiasm
Jeff,2000,Curb Your Enthusiasm
Jonn,2001,Justice League
Martian,2001,Justice League
Jack,2001,Samurai Jack
Guard,2001,Samurai Jack
Rabbit,1995,Dragon Ball
Jack,2002,Still Game
Victor,2002,Still Game
Jack,2001,24
Chloe,2001,24
Tony,2001,24
John,2001,Scrubs
Zeebee,2001,Scrubs
Christopher,2001,Scrubs
Vic,2002,The Shield
Julien,2002,The Shield
Holland,2002,The Shield
David,2001,The Office
Tim,2001,The Office
Gareth,2001,The Office
Julian,2001,Trailer Park Boys
Ricky,2001,Trailer Park Boys
Bubbles,2001,Trailer Park Boys
Harvey,2000,"Harvey Birdman, Attorney at Law"
Judge,2000,"Harvey Birdman, Attorney at Law"
Avenger,2000,"Harvey Birdman, Attorney at Law"
Malcolm,2002,Firefly
Zoë,2002,Firefly
Hoban,2002,Firefly
Abe,2002,Clone High
Principal,2002,Clone High
James,2002,The Wire
Cedric,2002,The Wire
Christopher,2002,Foyle's War
Samantha,2002,Foyle's War
Sam,2002,Foyle's War
Adrian,2002,Monk
Frank,2002,Monk
Randy,2002,Monk
Guts,1997,Berserk
Caska,1997,Berserk
Gondo,2002,Ghost in the Shell: Stand Alone Complex
Motoko,2002,Ghost in the Shell: Stand Alone Complex
Georgia,2003,Dead Like Me
Mason,2003,Dead Like Me
Roxy,2003,Dead Like Me
Seth,2004,Deadwood
Al,2004,Deadwood
Alma,2004,Deadwood
Announcer,2003,Chappelle's Show
Jaye,2004,Wonderfalls
Sharon,2004,Wonderfalls
Eric,2004,Wonderfalls
Gerry,2003,New Tricks
Det,2003,New Tricks
Detsuptsandra,2003,New Tricks
Michael,2003,Arrested Development
Georgemichael,2003,Arrested Development
Lindsay,2003,Arrested Development
Mortimer,2001,Shaman King
Lenny,2001,Shaman King
Trey,2001,Shaman King
Riley,2005,The Boondocks
Huey,2005,The Boondocks
Robert,2005,The Boondocks
Colonel,2004,Stargate: Atlantis
John,2004,Stargate: Atlantis
Col,2004,Stargate: Atlantis
Frank,2004,Shameless
Karen,2004,Shameless
Ash,2004,Hustle
Albert,2004,Hustle
Eddie,2004,Hustle
Tommy,2004,Rescue Me
Mike,2004,Rescue Me
Sean,2004,Rescue Me
Kennys,2002,Kenny vs. Spenny
Lucius,2005,Rome
Titus,2005,Rome
Atia,2005,Rome
Michael,2005,The Office
Pam,2005,The Office
Jim,2005,The Office
Eric,2004,Entourage
Vincent,2004,Entourage
Johnny,2004,Entourage
Mark,2003,Peep Show
Jeremy,2003,Peep Show
Super,2003,Peep Show
Monkey,1999,One Piece
Oz,1999,One Piece
Gangadhar,1997,Shaktimaan
Shaktimaan,1997,Shaktimaan
Geeta,1997,Shaktimaan
Alan,2004,Boston Legal
Denny,2004,Boston Legal
Shirley,2004,Boston Legal
Admiral,2004,Battlestar Galactica
William,2004,Battlestar Galactica
Laura,2004,Battlestar Galactica
Martin,2004,Doc Martin
Louisa,2004,Doc Martin
Naruto,2002,Naruto
Akamaru,2002,Naruto
Hugo,2004,Lost
James,2004,Lost
Sunhwa,2004,Lost
Gregory,2004,House
Eric,2004,House
James,2004,House
Veronica,2004,Veronica Mars
Logan,2004,Veronica Mars
Keith,2004,Veronica Mars
Howard,2003,The Mighty Boosh
Dennis,2003,The Mighty Boosh
Brian,2003,The Mighty Boosh
Appa,2005,Avatar: The Last Airbender
Momo,2005,Avatar: The Last Airbender
Hank,2003,The Venture Bros.
Monarch,2003,The Venture Bros.
Hatred,2003,The Venture Bros.
Edward,2003,Fullmetal Alchemist
Alphonse,2003,Fullmetal Alchemist
So,2004,The Soup
Courtney,2004,The Soup
Kim,2004,The Soup
Kim,2004,Green Wing
Boyce,2004,Green Wing
Harriet,2004,Green Wing
Mugen,2004,Samurai Champloo
Jin,2004,Samurai Champloo
Fuu,2004,Samurai Champloo
Gon,1999,Hunter x Hunter
Kurapika,1999,Hunter x Hunter
Fumi,1999,Hunter x Hunter
Ichigo,2004,Bleach
Hollow,2004,Bleach
Inner,2004,Bleach
Valerie,2005,The Comeback
Jane,2005,The Comeback
Mark,2005,The Comeback
Kenzou,2004,Monster
Customer,2004,Monster
Student,2004,Monster
Doctor,2005,Doctor Who
Caecilius,2005,Doctor Who
Geoff,2005,The Late Late Show with Craig Ferguson
Governor,2005,The Late Late Show with Craig Ferguson
Andy,2005,Extras
Maggie,2005,Extras
Darren,2005,Extras
Penelope,2005,Criminal Minds
Jennifer,2005,Criminal Minds
Spencer,2005,Criminal Minds
Lincoln,2005,Prison Break
Michael,2005,Prison Break
Yoda,2008,Star Wars: The Clone Wars
Admiral,2008,Star Wars: The Clone Wars
