tconst,characters,primaryTitle,startYear
tt0096657,"[""Mr. Bean""]",Mr. Bean,1990
tt0096657,"[""The Girlfriend""]",Mr. Bean,1990
tt0096657,"[""Irma Gobb""]",Mr. Bean,1990
tt0098830,"[""Various""]",In Living Color,1990
tt0098830,"[""Captain James T. Kirk""]",In Living Color,1990
tt0098830,"[""Jake""]",In Living Color,1990
tt0098833,"[""Jeeves""]",Jeeves and Wooster,1990
tt0098833,"[""Bertie Wooster""]",Jeeves and Wooster,1990
tt0098833,"[""Oofy Prosser""]",Jeeves and Wooster,1990
tt0098878,"[""Dr. Joel Fleischman""]",Northern Exposure,1990
tt0098878,"[""Franz Kafka""]",Northern Exposure,1990
tt0098878,"[""Mikhail""]",Northern Exposure,1990
tt0098936,"[""Special Agent Dale Cooper""]",Twin Peaks,1990
tt0098936,"[""Sheriff Harry S. Truman""]",Twin Peaks,1990
tt0098936,"[""Shelly Johnson""]",Twin Peaks,1990
tt0101088,"[""Marshall Teller""]","Eerie, Indiana",1991
tt0101088,"[""Eunice Danforth""]","Eerie, Indiana",1991
tt0101088,"[""Simon Holmes""]","Eerie, Indiana",1991
tt0103359,"[""Batman""]",Batman: The Animated Series,1992
tt0103359,"[""Bruce Wayne""]",Batman: The Animated Series,1992
tt0103359,"[""Thomas Wayne""]",Batman: The Animated Series,1992
tt0103376,"[""Eddie""]",Bottom,1991
tt0103376,"[""Richie""]",Bottom,1991
tt0103376,"[""Spudgun""]",Bottom,1991
tt0103466,"[""Larry Sanders""]",The Larry Sanders Show,1992
tt0103466,"[""Hank Kingsley""]",The Larry Sanders Show,1992
tt0103466,"[""Phil""]",The Larry Sanders Show,1992
tt0105929,"[""Edina""]",Absolutely Fabulous,1992
tt0105929,"[""Patsy""]",Absolutely Fabulous,1992
tt0105929,"[""Booberella""]",Absolutely Fabulous,1992
tt0105932,"[""Brisco County Jr.""]","The Adventures of Brisco County, Jr.",1993
tt0105932,"[""Lord Bowler""]","The Adventures of Brisco County, Jr.",1993
tt0105932,"[""Socrates Poole""]","The Adventures of Brisco County, Jr.",1993
tt0105946,"[""Delenn""]",Babylon 5,1993
tt0105946,"[""Ambassador Delenn""]",Babylon 5,1993
tt0105946,"[""Dr. Stephen Franklin""]",Babylon 5,1993
tt0105958,"[""Cory Matthews""]",Boy Meets World,1993
tt0105958,"[""Ben Sandwich""]",Boy Meets World,1993
tt0105958,"[""Rory""]",Boy Meets World,1993
