firstName,title,years_from_release,count
James,In Living Color,-3,259
James,In Living Color,-2,239
James,In Living Color,-1,275
James,In Living Color,0,239
James,In Living Color,1,265
James,In Living Color,2,230
James,In Living Color,3,189
Jake,In Living Color,-3,10
Jake,In Living Color,-2,13
Jake,In Living Color,-1,16
Jake,In Living Color,0,19
Jake,In Living Color,1,34
Jake,In Living Color,2,30
Jake,In Living Color,3,34
Joel,Northern Exposure,-3,110
Joel,Northern Exposure,-2,106
Joel,Northern Exposure,-1,118
Joel,Northern Exposure,0,111
Joel,Northern Exposure,1,95
Joel,Northern Exposure,2,100
Joel,Northern Exposure,3,93
Dale,Twin Peaks,-3,31
Dale,Twin Peaks,-2,23
Dale,Twin Peaks,-1,22
Dale,Twin Peaks,0,26
Dale,Twin Peaks,1,17
Dale,Twin Peaks,2,22
Dale,Twin Peaks,3,19
Shelly,Twin Peaks,-3,7
Shelly,Twin Peaks,-2,7
Shelly,Twin Peaks,-1,5
Shelly,Twin Peaks,0,6
Shelly,Twin Peaks,1,1
Shelly,Twin Peaks,2,5
Shelly,Twin Peaks,3,5
Marshall,"Eerie, Indiana",-3,7
Marshall,"Eerie, Indiana",-2,13
Marshall,"Eerie, Indiana",-1,15
Marshall,"Eerie, Indiana",0,11
Marshall,"Eerie, Indiana",1,20
Marshall,"Eerie, Indiana",2,12
Marshall,"Eerie, Indiana",3,8
Simon,"Eerie, Indiana",-3,25
Simon,"Eerie, Indiana",-2,28
Simon,"Eerie, Indiana",-1,25
Simon,"Eerie, Indiana",0,20
Simon,"Eerie, Indiana",1,27
Simon,"Eerie, Indiana",2,28
Simon,"Eerie, Indiana",3,11
Bruce,Batman: The Animated Series,-3,14
Bruce,Batman: The Animated Series,-2,9
Bruce,Batman: The Animated Series,-1,10
Bruce,Batman: The Animated Series,0,10
Bruce,Batman: The Animated Series,1,8
Bruce,Batman: The Animated Series,2,7
Bruce,Batman: The Animated Series,3,4
Thomas,Batman: The Animated Series,-3,152
Thomas,Batman: The Animated Series,-2,151
Thomas,Batman: The Animated Series,-1,170
Thomas,Batman: The Animated Series,0,138
Thomas,Batman: The Animated Series,1,120
Thomas,Batman: The Animated Series,2,123
Thomas,Batman: The Animated Series,3,129
Larry,The Larry Sanders Show,-3,3
Larry,The Larry Sanders Show,-2,4
Larry,The Larry Sanders Show,-1,6
Larry,The Larry Sanders Show,0,4
Larry,The Larry Sanders Show,1,5
Larry,The Larry Sanders Show,2,6
Larry,The Larry Sanders Show,3,2
Stephen,Babylon 5,-3,147
Stephen,Babylon 5,-2,107
Stephen,Babylon 5,-1,94
Stephen,Babylon 5,0,70
Stephen,Babylon 5,1,76
Stephen,Babylon 5,2,54
Stephen,Babylon 5,3,52
Cory,Boy Meets World,-3,85
Cory,Boy Meets World,-2,64
Cory,Boy Meets World,-1,56
Cory,Boy Meets World,0,38
Cory,Boy Meets World,1,54
Cory,Boy Meets World,2,24
Cory,Boy Meets World,3,24
Ben,Boy Meets World,-3,6
Ben,Boy Meets World,-2,9
Ben,Boy Meets World,-1,14
Ben,Boy Meets World,0,8
Ben,Boy Meets World,1,4
Ben,Boy Meets World,2,10
Ben,Boy Meets World,3,6
Rory,Boy Meets World,-3,19
Rory,Boy Meets World,-2,10
Rory,Boy Meets World,-1,14
Rory,Boy Meets World,0,13
Rory,Boy Meets World,1,7
Rory,Boy Meets World,2,10
Rory,Boy Meets World,3,14
Edward,Cracker,-3,23
Edward,Cracker,-2,20
Edward,Cracker,-1,24
Edward,Cracker,0,29
Edward,Cracker,1,29
Edward,Cracker,2,22
Edward,Cracker,3,18
Jane,Cracker,-3,15
Jane,Cracker,-2,4
Jane,Cracker,-1,6
Jane,Cracker,0,12
Jane,Cracker,1,6
Jane,Cracker,2,10
Jane,Cracker,3,6
Mark,Cracker,-3,172
Mark,Cracker,-2,156
Mark,Cracker,-1,122
Mark,Cracker,0,117
Mark,Cracker,1,91
Mark,Cracker,2,101
Mark,Cracker,3,83
John,Homicide: Life on the Street,-3,144
John,Homicide: Life on the Street,-2,152
John,Homicide: Life on the Street,-1,132
John,Homicide: Life on the Street,0,129
John,Homicide: Life on the Street,1,115
John,Homicide: Life on the Street,2,104
John,Homicide: Life on the Street,3,87
Benjamin,Star Trek: Deep Space Nine,-3,147
Benjamin,Star Trek: Deep Space Nine,-2,132
Benjamin,Star Trek: Deep Space Nine,-1,119
Benjamin,Star Trek: Deep Space Nine,0,119
Benjamin,Star Trek: Deep Space Nine,1,146
Benjamin,Star Trek: Deep Space Nine,2,127
Benjamin,Star Trek: Deep Space Nine,3,147
Dana,The X-Files,-3,44
Dana,The X-Files,-2,43
Dana,The X-Files,-1,48
Dana,The X-Files,0,34
Dana,The X-Files,1,24
Dana,The X-Files,2,25
Dana,The X-Files,3,30
Rachel,Friends,-3,105
Rachel,Friends,-2,103
Rachel,Friends,-1,118
Rachel,Friends,0,100
Rachel,Friends,1,141
Rachel,Friends,2,146
Rachel,Friends,3,123
Monica,Friends,-3,16
Monica,Friends,-2,21
Monica,Friends,-1,26
Monica,Friends,0,21
Monica,Friends,1,27
Monica,Friends,2,28
Monica,Friends,3,21
Morgan,Gargoyles,-3,103
Morgan,Gargoyles,-2,113
Morgan,Gargoyles,-1,112
Morgan,Gargoyles,0,153
Morgan,Gargoyles,1,143
Morgan,Gargoyles,2,136
Morgan,Gargoyles,3,151
Alan,"Knowing Me, Knowing You with Alan Partridge",-3,18
Alan,"Knowing Me, Knowing You with Alan Partridge",-2,18
Alan,"Knowing Me, Knowing You with Alan Partridge",-1,13
Alan,"Knowing Me, Knowing You with Alan Partridge",0,17
Alan,"Knowing Me, Knowing You with Alan Partridge",1,8
Alan,"Knowing Me, Knowing You with Alan Partridge",2,12
Alan,"Knowing Me, Knowing You with Alan Partridge",3,9
Charlotte,"Knowing Me, Knowing You with Alan Partridge",-3,10
Charlotte,"Knowing Me, Knowing You with Alan Partridge",-2,17
Charlotte,"Knowing Me, Knowing You with Alan Partridge",-1,20
Charlotte,"Knowing Me, Knowing You with Alan Partridge",0,19
Charlotte,"Knowing Me, Knowing You with Alan Partridge",1,12
Charlotte,"Knowing Me, Knowing You with Alan Partridge",2,20
Charlotte,"Knowing Me, Knowing You with Alan Partridge",3,11
Angela,My So-Called Life,-3,56
Angela,My So-Called Life,-2,54
Angela,My So-Called Life,-1,37
Angela,My So-Called Life,0,55
Angela,My So-Called Life,1,43
Angela,My So-Called Life,2,41
Angela,My So-Called Life,3,23
Jack,Father Ted,-3,16
Jack,Father Ted,-2,18
Jack,Father Ted,-1,26
Jack,Father Ted,0,29
Jack,Father Ted,1,34
Jack,Father Ted,2,44
Jack,Father Ted,3,51
Andy,Life with Louie,-3,12
Andy,Life with Louie,-2,15
Andy,Life with Louie,-1,10
Andy,Life with Louie,0,8
Andy,Life with Louie,1,20
Andy,Life with Louie,2,11
Andy,Life with Louie,3,12
Josh,Mr. Show with Bob and David,-3,9
Josh,Mr. Show with Bob and David,-2,5
Josh,Mr. Show with Bob and David,-1,7
Josh,Mr. Show with Bob and David,0,8
Josh,Mr. Show with Bob and David,1,13
Josh,Mr. Show with Bob and David,2,4
Josh,Mr. Show with Bob and David,3,10
Jimmy,NewsRadio,-3,11
Jimmy,NewsRadio,-2,7
Jimmy,NewsRadio,-1,8
Jimmy,NewsRadio,0,8
Jimmy,NewsRadio,1,5
Jimmy,NewsRadio,2,6
Jimmy,NewsRadio,3,8
Matthew,NewsRadio,-3,441
Matthew,NewsRadio,-2,432
Matthew,NewsRadio,-1,382
Matthew,NewsRadio,0,398
Matthew,NewsRadio,1,358
Matthew,NewsRadio,2,324
Matthew,NewsRadio,3,368
Frank,Millennium,-3,4
Frank,Millennium,-2,9
Frank,Millennium,-1,6
Frank,Millennium,0,14
Frank,Millennium,1,9
Frank,Millennium,2,4
Frank,Millennium,3,9
Catherine,Millennium,-3,24
Catherine,Millennium,-2,30
Catherine,Millennium,-1,44
Catherine,Millennium,0,17
Catherine,Millennium,1,37
Catherine,Millennium,2,27
Catherine,Millennium,3,29
Peter,Millennium,-3,73
Peter,Millennium,-2,76
Peter,Millennium,-1,62
Peter,Millennium,0,51
Peter,Millennium,1,53
Peter,Millennium,2,46
Peter,Millennium,3,49
Christopher,Brass Eye,-3,247
Christopher,Brass Eye,-2,231
Christopher,Brass Eye,-1,169
Christopher,Brass Eye,0,172
Christopher,Brass Eye,1,172
Christopher,Brass Eye,2,140
Christopher,Brass Eye,3,115
Austen,Brass Eye,-3,6
Austen,Brass Eye,-2,6
Austen,Brass Eye,-1,13
Austen,Brass Eye,0,7
Austen,Brass Eye,1,2
Austen,Brass Eye,2,8
Austen,Brass Eye,3,2
Faith,Buffy the Vampire Slayer,-3,9
Faith,Buffy the Vampire Slayer,-2,13
Faith,Buffy the Vampire Slayer,-1,19
Faith,Buffy the Vampire Slayer,0,32
Faith,Buffy the Vampire Slayer,1,34
Faith,Buffy the Vampire Slayer,2,39
Faith,Buffy the Vampire Slayer,3,45
Jane,Daria,-3,6
Jane,Daria,-2,10
Jane,Daria,-1,6
Jane,Daria,0,8
Jane,Daria,1,9
Jane,Daria,2,8
Jane,Daria,3,11
Quinn,Daria,-3,20
Quinn,Daria,-2,30
Quinn,Daria,-1,34
Quinn,Daria,0,35
Quinn,Daria,1,31
Quinn,Daria,2,45
Quinn,Daria,3,51
Jonathan,Jonathan Creek,-3,115
Jonathan,Jonathan Creek,-2,114
Jonathan,Jonathan Creek,-1,113
Jonathan,Jonathan Creek,0,88
Jonathan,Jonathan Creek,1,113
Jonathan,Jonathan Creek,2,100
Jonathan,Jonathan Creek,3,83
Adam,Jonathan Creek,-3,160
Adam,Jonathan Creek,-2,128
Adam,Jonathan Creek,-1,103
Adam,Jonathan Creek,0,109
Adam,Jonathan Creek,1,125
Adam,Jonathan Creek,2,128
Adam,Jonathan Creek,3,119
Jack,Stargate SG-1,-3,26
Jack,Stargate SG-1,-2,29
Jack,Stargate SG-1,-1,34
Jack,Stargate SG-1,0,44
Jack,Stargate SG-1,1,51
Jack,Stargate SG-1,2,73
Jack,Stargate SG-1,3,82
Eric,South Park,-3,137
Eric,South Park,-2,134
Eric,South Park,-1,148
Eric,South Park,0,134
Eric,South Park,1,123
Eric,South Park,2,115
Eric,South Park,3,151
Randy,South Park,-3,23
Randy,South Park,-2,26
Randy,South Park,-1,25
Randy,South Park,0,18
Randy,South Park,1,13
Randy,South Park,2,12
Randy,South Park,3,12
Alan,I'm Alan Partridge,-3,17
Alan,I'm Alan Partridge,-2,8
Alan,I'm Alan Partridge,-1,12
Alan,I'm Alan Partridge,0,9
Alan,I'm Alan Partridge,1,9
Alan,I'm Alan Partridge,2,10
Alan,I'm Alan Partridge,3,7
Michael,I'm Alan Partridge,-3,344
Michael,I'm Alan Partridge,-2,304
Michael,I'm Alan Partridge,-1,230
Michael,I'm Alan Partridge,0,237
Michael,I'm Alan Partridge,1,196
Michael,I'm Alan Partridge,2,202
Michael,I'm Alan Partridge,3,177
Denise,The Royle Family,-3,4
Denise,The Royle Family,-2,5
Denise,The Royle Family,-1,2
Denise,The Royle Family,0,5
Denise,The Royle Family,1,6
Denise,The Royle Family,2,5
Denise,The Royle Family,3,6
Tony,The Sopranos,-3,11
Tony,The Sopranos,-2,10
Tony,The Sopranos,-1,10
Tony,The Sopranos,0,7
Tony,The Sopranos,1,7
Tony,The Sopranos,2,10
Tony,The Sopranos,3,5
Jennifer,The Sopranos,-3,129
Jennifer,The Sopranos,-2,103
Jennifer,The Sopranos,-1,84
Jennifer,The Sopranos,0,60
Jennifer,The Sopranos,1,51
Jennifer,The Sopranos,2,53
Jennifer,The Sopranos,3,51
Terry,Batman Beyond,-3,6
Terry,Batman Beyond,-2,12
Terry,Batman Beyond,-1,4
Terry,Batman Beyond,0,2
Terry,Batman Beyond,1,7
Terry,Batman Beyond,2,5
Terry,Batman Beyond,3,3
Philip,Futurama,-3,15
Philip,Futurama,-2,16
Philip,Futurama,-1,10
Philip,Futurama,0,12
Philip,Futurama,1,15
Philip,Futurama,2,12
Philip,Futurama,3,12
Eric,That '70s Show,-3,134
Eric,That '70s Show,-2,148
Eric,That '70s Show,-1,134
Eric,That '70s Show,0,123
Eric,That '70s Show,1,115
Eric,That '70s Show,2,151
Eric,That '70s Show,3,103
Donna,That '70s Show,-3,4
Donna,That '70s Show,-2,3
Donna,That '70s Show,-1,6
Donna,That '70s Show,0,5
Donna,That '70s Show,1,3
Donna,That '70s Show,2,7
Donna,That '70s Show,3,3
Jackie,That '70s Show,-3,4
Jackie,That '70s Show,-2,7
Jackie,That '70s Show,-1,4
Jackie,That '70s Show,0,6
Jackie,That '70s Show,1,6
Jackie,That '70s Show,2,4
Jackie,That '70s Show,3,3
Casey,Sports Night,-3,30
Casey,Sports Night,-2,33
Casey,Sports Night,-1,23
Casey,Sports Night,0,25
Casey,Sports Night,1,21
Casey,Sports Night,2,16
Casey,Sports Night,3,20
Dana,Sports Night,-3,25
Dana,Sports Night,-2,30
Dana,Sports Night,-1,30
Dana,Sports Night,0,29
Dana,Sports Night,1,35
Dana,Sports Night,2,15
Dana,Sports Night,3,9
Peter,Family Guy,-3,51
Peter,Family Guy,-2,53
Peter,Family Guy,-1,46
Peter,Family Guy,0,49
Peter,Family Guy,1,42
Peter,Family Guy,2,35
Peter,Family Guy,3,34
Brian,Family Guy,-3,31
Brian,Family Guy,-2,36
Brian,Family Guy,-1,32
Brian,Family Guy,0,27
Brian,Family Guy,1,23
Brian,Family Guy,2,27
Brian,Family Guy,3,30
Charlie,The League of Gentlemen,-3,2
Charlie,The League of Gentlemen,-2,5
Charlie,The League of Gentlemen,-1,5
Charlie,The League of Gentlemen,0,7
Charlie,The League of Gentlemen,1,7
Charlie,The League of Gentlemen,2,5
Charlie,The League of Gentlemen,3,10
Stuart,Queer as Folk,-3,16
Stuart,Queer as Folk,-2,12
Stuart,Queer as Folk,-1,4
Stuart,Queer as Folk,0,8
Stuart,Queer as Folk,1,4
Stuart,Queer as Folk,2,7
Stuart,Queer as Folk,3,3
Nathan,Queer as Folk,-3,148
Nathan,Queer as Folk,-2,126
Nathan,Queer as Folk,-1,152
Nathan,Queer as Folk,0,147
Nathan,Queer as Folk,1,150
Nathan,Queer as Folk,2,148
Nathan,Queer as Folk,3,152
John,Farscape,-3,87
John,Farscape,-2,104
John,Farscape,-1,95
John,Farscape,0,103
John,Farscape,1,76
John,Farscape,2,69
John,Farscape,3,81
Daisy,Spaced,-3,2
Daisy,Spaced,-2,3
Daisy,Spaced,-1,3
Daisy,Spaced,0,2
Daisy,Spaced,1,8
Daisy,Spaced,2,11
Daisy,Spaced,3,5
Amber,Spaced,-3,72
Amber,Spaced,-2,52
Amber,Spaced,-1,102
Amber,Spaced,0,60
Amber,Spaced,1,51
Amber,Spaced,2,54
Amber,Spaced,3,49
Lindsay,Freaks and Geeks,-3,34
Lindsay,Freaks and Geeks,-2,28
Lindsay,Freaks and Geeks,-1,28
Lindsay,Freaks and Geeks,0,25
Lindsay,Freaks and Geeks,1,17
Lindsay,Freaks and Geeks,2,17
Lindsay,Freaks and Geeks,3,16
Sam,Freaks and Geeks,-3,4
Sam,Freaks and Geeks,-2,5
Sam,Freaks and Geeks,-1,11
Sam,Freaks and Geeks,0,8
Sam,Freaks and Geeks,1,10
Sam,Freaks and Geeks,2,11
Sam,Freaks and Geeks,3,9
Daniel,Freaks and Geeks,-3,194
Daniel,Freaks and Geeks,-2,176
Daniel,Freaks and Geeks,-1,174
Daniel,Freaks and Geeks,0,175
Daniel,Freaks and Geeks,1,179
Daniel,Freaks and Geeks,2,133
Daniel,Freaks and Geeks,3,169
Geoffrey,Strangers with Candy,-3,10
Geoffrey,Strangers with Candy,-2,8
Geoffrey,Strangers with Candy,-1,10
Geoffrey,Strangers with Candy,0,5
Geoffrey,Strangers with Candy,1,3
Geoffrey,Strangers with Candy,2,4
Geoffrey,Strangers with Candy,3,3
Brendon,Home Movies,-3,12
Brendon,Home Movies,-2,16
Brendon,Home Movies,-1,15
Brendon,Home Movies,0,16
Brendon,Home Movies,1,11
Brendon,Home Movies,2,8
Brendon,Home Movies,3,5
Tyrone,Third Watch,-3,6
Tyrone,Third Watch,-2,15
Tyrone,Third Watch,-1,6
Tyrone,Third Watch,0,12
Tyrone,Third Watch,1,5
Tyrone,Third Watch,2,15
Tyrone,Third Watch,3,9
John,Third Watch,-3,87
John,Third Watch,-2,104
John,Third Watch,-1,95
John,Third Watch,0,103
John,Third Watch,1,76
John,Third Watch,2,69
John,Third Watch,3,81
Josiah,The West Wing,-3,11
Josiah,The West Wing,-2,15
Josiah,The West Wing,-1,14
Josiah,The West Wing,0,14
Josiah,The West Wing,1,27
Josiah,The West Wing,2,12
Josiah,The West Wing,3,22
Sam,The West Wing,-3,4
Sam,The West Wing,-2,5
Sam,The West Wing,-1,11
Sam,The West Wing,0,8
Sam,The West Wing,1,10
Sam,The West Wing,2,11
Sam,The West Wing,3,9
Olivia,Law & Order: Special Victims Unit,-3,44
Olivia,Law & Order: Special Victims Unit,-2,61
Olivia,Law & Order: Special Victims Unit,-1,74
Olivia,Law & Order: Special Victims Unit,0,83
Olivia,Law & Order: Special Victims Unit,1,99
Olivia,Law & Order: Special Victims Unit,2,118
Olivia,Law & Order: Special Victims Unit,3,130
Gary,SpongeBob SquarePants,-3,12
Gary,SpongeBob SquarePants,-2,11
Gary,SpongeBob SquarePants,-1,14
Gary,SpongeBob SquarePants,0,4
Gary,SpongeBob SquarePants,1,8
Gary,SpongeBob SquarePants,2,5
Gary,SpongeBob SquarePants,3,7
