tconst,primaryTitle,startYear
tt0903747,Breaking Bad,2008
tt7678620,Bluey,2018
tt0306414,The Wire,2002
tt0417299,Avatar: The Last Airbender,2005
tt12392504,Scam 1992: The Harshad Mehta Story,2020
tt9253866,Our Planet,2019
tt9471404,The Chosen,2017
tt0944947,Game of Thrones,2011
tt0141842,The Sopranos,1999
tt1475582,Sherlock,2010
tt2861424,Rick and Morty,2013
tt2560140,Attack on Titan,2013
tt1355642,Fullmetal Alchemist: Brotherhood,2009
tt1831164,Leyla and Mecnun,2011
tt0386676,The Office,2005
tt3032476,Better Call Saul,2015
tt0303461,Firefly,2002
tt11126994,Arcane,2021
tt2098220,Hunter x Hunter,2011
tt0103359,Batman: The Animated Series,1992
tt9432978,Kota Factory,2019
tt10541088,Clarkson's Farm,2021
tt8595766,Yeh Meri Family,2018
tt13675832,As If,2021
tt4934214,Taskmaster,2015
tt0108778,Friends,1994
tt2356777,True Detective,2014
tt2802850,Fargo,2014
tt0877057,Death Note,2006
tt7660850,Succession,2018
tt0388629,One Piece,1999
tt0213338,Cowboy Bebop,1998
tt1865718,Gravity Falls,2012
tt3530232,Last Week Tonight with John Oliver,2014
tt0200276,The West Wing,1999
tt2297757,Nathan for You,2013
tt1909015,Undercover,2011
tt0281491,Still Game,2002
tt1832668,How the Universe Works,2010
tt6244192,Leah Remini: Scientology and the Aftermath,2016
tt2085059,Black Mirror,2011
tt2442560,Peaky Blinders,2013
tt2707408,Narcos,2015
tt10986410,Ted Lasso,2020
tt0472954,It's Always Sunny in Philadelphia,2005
tt0098936,Twin Peaks,1990
tt3398228,BoJack Horseman,2014
tt0193676,Freaks and Geeks,1999
tt0264235,Curb Your Enthusiasm,2000
tt0353049,Chappelle's Show,2003
tt1910272,Steins;Gate,2011
tt10233448,Vinland Saga,2019
tt0247882,Forensic Files,1996
tt2845786,Anthony Bourdain: Parts Unknown,2013
tt11769304,Hospital Playlist,2020
tt4574334,Stranger Things,2016
tt0773262,Dexter,2006
tt1190634,The Boys,2019
tt8111088,The Mandalorian,2019
tt1856010,House of Cards,2013
tt0412142,House,2004
tt5753856,Dark,2017
tt0121955,South Park,1997
tt0367279,Arrested Development,2003
tt0804503,Mad Men,2007
tt1606375,Downton Abbey,2010
tt4236770,Yellowstone,2018
tt0384766,Rome,2005
tt5687612,Fleabag,2016
tt4508902,One Punch Man,2015
tt0407362,Battlestar Galactica,2004
tt6741278,Invincible,2021
tt5555260,This Is Us,2016
tt0248654,Six Feet Under,2001
tt0988824,Naruto: Shippuden,2007
tt5788792,The Marvelous Mrs. Maisel,2017
tt9335498,Demon Slayer: Kimetsu no Yaiba,2019
tt1628033,Top Gear,2002
tt0118421,Oz,1997
tt9544034,The Family Man,2019
tt0286486,The Shield,2002
tt5712554,The Grand Tour,2016
tt0758745,Friday Night Lights,2006
tt2303687,Line of Duty,2012
tt0387764,Peep Show,2003
tt5421602,Anne with an E,2017
tt0318871,Berserk,1997
tt0111958,Father Ted,1995
tt2049116,Gomorrah,2014
tt0434706,Monster,2004
tt1534360,Ezel,2009
tt10850932,Crash Landing on You,2019
tt7562112,Pose,2018
tt3398540,Haikyu!!,2014
tt12714854,Mumbai Diaries 26/11,2021
tt4647692,Letterkenny,2016
tt0459159,The Thick of It,2005
tt2433738,Wentworth,2013
tt6025022,Justice League Unlimited,2004
tt0106028,Homicide: Life on the Street,1993
tt4063800,The Bureau,2015
tt4269716,Umbre,2014
tt10801534,How to with John Wilson,2020
tt7094780,Mr. Sunshine,2018
tt1051155,The Universe,2007
tt1400819,Horrible Histories,2009
tt3322312,Daredevil,2015
tt5290382,Mindhunter,2017
tt1124373,Sons of Anarchy,2008
tt1266020,Parks and Recreation,2009
tt1586680,Shameless,2011
tt0106179,The X-Files,1993
tt0436992,Doctor Who,2005
tt4786824,The Crown,2016
tt0979432,Boardwalk Empire,2010
tt1486217,Archer,2009
tt0096657,Mr. Bean,1990
tt1870479,The Newsroom,2012
tt0348914,Deadwood,2004
tt1489428,Justified,2010
tt1305826,Adventure Time,2010
tt5189670,Making a Murderer,2015
tt7908628,What We Do in the Shadows,2019
tt4288182,Atlanta,2016
tt0280249,Dragon Ball,1995
tt0423731,Samurai Champloo,2004
tt0275137,Justice League,2001
tt0290988,Trailer Park Boys,2001
tt0237123,Coupling,2000
tt8289930,Formula 1: Drive to Survive,2019
tt1641384,Young Justice,2010
tt2100976,Impractical Jokers,2011
tt5897304,Mob Psycho 100,2016
tt11854694,Special OPS,2020
tt0380136,QI,2003
tt2701582,Endeavour,2012
tt1983079,Call the Midwife,2012
tt0417373,The Venture Bros.,2003
tt7472896,Mr Inbetween,2018
tt0129690,I'm Alan Partridge,1997
tt2244495,The Eric Andre Show,2012
tt4082744,Detectorists,2014
tt9814458,Bandish Bandits,2020
tt0310455,Foyle's War,2002
tt7278862,My Brilliant Friend,2018
tt10590066,All Creatures Great and Small,2020
tt1877368,The Great British Baking Show,2010
tt0118273,Brass Eye,1997
tt2301351,RuPaul's Drag Race All Stars,2012
tt0426719,Hunter x Hunter,1999
tt3069894,Shtisel,2013
tt9304350,Fruits Basket,2019
tt1657563,Check It Out! with Dr. Steve Brule,2010
tt11904786,Love on the Spectrum,2019
tt12027034,Middleditch & Schwartz,2020
tt0169455,Inside the Actors Studio,1994
tt0475784,Westworld,2016
tt1442437,Modern Family,2009
tt4158110,Mr. Robot,2015
tt5071412,Ozark,2017
tt1439629,Community,2009
tt2243973,Hannibal,2013
tt1442449,Spartacus,2010
tt0149460,Futurama,1999
tt3920596,Big Little Lies,2017
tt7221388,Cobra Kai,2018
tt1839578,Person of Interest,2011
tt0387199,Entourage,2004
tt3230854,The Expanse,2015
tt2575988,Silicon Valley,2014
tt4179452,The Last Kingdom,2015
tt3526078,Schitt's Creek,2015
tt0290978,The Office,2001
tt6077448,Sacred Games,2018
tt1492966,Louie,2010
tt6473300,Mirzapur,2018
tt0112159,Neon Genesis Evangelion,1995
tt3502248,Bosch,2014
tt12343534,Jujutsu Kaisen,2020
tt0421357,Fullmetal Alchemist,2003
tt4093826,Twin Peaks,2017
tt0262150,Black Books,2000
tt3428912,Happy Valley,2014
tt0278238,Samurai Jack,2001
tt0187664,Spaced,1999
tt1710308,Regular Show,2010
tt2937900,The Knick,2014
tt7120662,Derry Girls,2018
tt0402711,Boston Legal,2004
tt0163507,Whose Line Is It Anyway?,1998
tt7658402,Harley Quinn,2019
tt0373732,The Boondocks,2005
tt2359704,JoJo's Bizarre Adventure,2012
tt11301642,Ethos,2020
tt1526318,Borgen,2010
tt1299368,Southland,2009
tt9398466,Delhi Crime,2019
tt1353056,RuPaul's Drag Race,2009
tt0262985,Queer as Folk,1999
tt0346314,Ghost in the Shell: Stand Alone Complex,2002
tt7259746,Queer Eye,2018
tt0182629,Rurouni Kenshin,1996
tt2155025,Please Like Me,2013
tt3673794,Kingdom,2014
tt2674806,Inside No. 9,2014
tt1094229,Heartland,2007
tt9522300,Kaguya-sama: Love is War,2019
tt4295140,Chef's Table,2015
tt8050756,The Owl House,2020
