firstName,title,p_greater,significant_increase,p_less,significant_decrease,median_pre,median_post
Aidan,Inside No. 9,1.0,False,0.02857142857142857,True,44.0,26.0
Albert,Hustle,0.9792068293839069,False,0.04774161604877365,True,12.0,7.0
Alex,Julie and the Phantoms,0.9903650331677201,False,0.02383905156801093,True,37.0,22.0
Alicia,The Good Wife,1.0,False,0.02857142857142857,True,24.0,15.5
Alyssa,The End of the F***ing World,1.0,False,0.02857142857142857,True,51.0,22.0
Amy,Heartland,0.983843544378378,False,0.03723091570870274,True,59.0,46.0
Amy,Little Dorrit,0.9897996272793145,False,0.024872995360751497,True,55.0,41.5
Angela,The Rookie,1.0,False,0.02857142857142857,True,20.0,11.0
Anna,Amphibia,0.9903650331677201,False,0.02383905156801093,True,69.0,60.0
Anna,PEN15,0.9903650331677201,False,0.02383905156801093,True,69.0,60.0
Annalise,How to Get Away with Murder,0.9919824434548129,False,0.020793170616093072,True,10.0,7.0
Ava,Justified,1.0,False,0.02857142857142857,True,239.0,199.0
Brett,Day Break,0.983843544378378,False,0.03723091570870274,True,45.0,24.0
Brian,Family Guy,0.9897996272793145,False,0.024872995360751497,True,32.0,27.0
Brian,Queer as Folk,0.9897996272793145,False,0.024872995360751497,True,32.0,27.0
Carl,Down to Earth with Zac Efron,0.9846232193703628,False,0.03591407816048411,True,9.0,3.5
Carl,The Midnight Gospel,0.9846232193703628,False,0.03591407816048411,True,9.0,3.5
Carly,Travelers,1.0,False,0.02857142857142857,True,12.0,5.0
Catherine,The Great,0.9897996272793145,False,0.024872995360751497,True,16.0,7.0
Christian,Good Behavior,1.0,False,0.02857142857142857,True,40.0,31.5
Christopher,Foyle's War,1.0,False,0.02857142857142857,True,122.0,86.5
Claire,The Orville,1.0,False,0.02857142857142857,True,107.0,78.0
Cory,Boy Meets World,0.9897996272793145,False,0.024872995360751497,True,64.0,31.0
Courtney,The Soup,1.0,False,0.02857142857142857,True,43.0,22.5
Dana,The X-Files,1.0,False,0.02857142857142857,True,44.0,27.5
David,Bodyguard,1.0,False,0.02857142857142857,True,107.0,87.0
David,Hilda,1.0,False,0.02857142857142857,True,107.0,87.0
David,Legion,1.0,False,0.02857142857142857,True,115.0,91.5
David,Staged,1.0,False,0.02857142857142857,True,93.0,79.5
Dylan,American Vandal,0.9897996272793145,False,0.024872995360751497,True,90.0,60.5
Dylan,Bates Motel,1.0,False,0.02857142857142857,True,102.0,91.5
Elsa,Atypical,0.986887909325631,False,0.031984458495414425,True,9.0,5.0
Emily,Counterpart,1.0,False,0.02857142857142857,True,231.0,154.5
Emma,The Promised Neverland,1.0,False,0.02857142857142857,True,230.0,171.0
Eric,Sex Education,1.0,False,0.02857142857142857,True,39.0,20.5
Eric,The Eric Andre Show,1.0,False,0.02857142857142857,True,71.0,47.5
Erin,Derry Girls,1.0,False,0.02857142857142857,True,21.0,9.5
Frank,Monk,0.9903650331677201,False,0.02383905156801093,True,9.0,5.5
Gary,SpongeBob SquarePants,1.0,False,0.02857142857142857,True,12.0,6.0
Geoffrey,Strangers with Candy,0.9903650331677201,False,0.02383905156801093,True,10.0,3.5
James,All Creatures Great and Small,1.0,False,0.02857142857142857,True,157.0,136.0
Jason,Trying,0.983843544378378,False,0.03723091570870274,True,38.0,29.0
Jennifer,Criminal Minds,0.983843544378378,False,0.03723091570870274,True,51.0,25.0
Jennifer,The Sopranos,0.9897996272793145,False,0.024872995360751497,True,103.0,52.0
Jimmy,The Black Donnellys,0.9903650331677201,False,0.02383905156801093,True,7.0,5.5
Joel,The Marvelous Mrs. Maisel,1.0,False,0.02857142857142857,True,28.0,14.0
John,Homicide: Life on the Street,1.0,False,0.02857142857142857,True,144.0,109.5
John,The Rookie,1.0,False,0.02857142857142857,True,98.0,79.5
John,Yellowstone,1.0,False,0.02857142857142857,True,98.0,79.5
Johnny,Cobra Kai,0.9903650331677201,False,0.02383905156801093,True,10.0,7.5
Jonathan,Jonathan Creek,0.983843544378378,False,0.03723091570870274,True,114.0,94.0
Jordan,Studio 60 on the Sunset Strip,1.0,False,0.02857142857142857,True,193.0,121.5
Julie,Julie and the Phantoms,1.0,False,0.02857142857142857,True,11.0,7.0
Justin,Queer as Folk,1.0,False,0.02857142857142857,True,208.0,172.5
Karen,Californication,0.9897996272793145,False,0.024872995360751497,True,15.0,7.5
Karen,Outnumbered,0.9897996272793145,False,0.024872995360751497,True,15.0,7.5
Katie,Terriers,1.0,False,0.02857142857142857,True,50.0,30.5
Kelly,Chicago Fire,0.9897996272793145,False,0.024872995360751497,True,13.0,5.5
Kylie,Harley Quinn,0.9846232193703628,False,0.03591407816048411,True,29.0,22.0
Lane,Gilmore Girls,0.9897996272793145,False,0.024872995360751497,True,37.0,20.0
Laura,Battlestar Galactica,0.9903650331677201,False,0.02383905156801093,True,35.0,27.0
Lauren,New Amsterdam,0.9897996272793145,False,0.024872995360751497,True,35.0,26.0
Lawrence,Insecure,0.9792068293839069,False,0.04774161604877365,True,8.0,5.5
Lawrence,The Durrells,0.9792068293839069,False,0.04774161604877365,True,8.0,5.5
Lindsay,Arrested Development,0.9846232193703628,False,0.03591407816048411,True,17.0,13.5
Lindsay,Freaks and Geeks,0.9903650331677201,False,0.02383905156801093,True,28.0,17.0
Luke,Julie and the Phantoms,1.0,False,0.02857142857142857,True,112.0,95.0
Marcus,Hacks,0.9897996272793145,False,0.024872995360751497,True,46.0,43.5
Marcus,The Good Doctor,0.9897996272793145,False,0.024872995360751497,True,69.0,48.5
Mark,Cracker,1.0,False,0.02857142857142857,True,156.0,96.0
Marshall,How I Met Your Mother,0.9846232193703628,False,0.03591407816048411,True,18.0,14.0
Max,New Amsterdam,1.0,False,0.02857142857142857,True,80.0,52.0
Max,Zoey's Extraordinary Playlist,0.9897996272793145,False,0.024872995360751497,True,57.0,43.0
Michael,Arrested Development,1.0,False,0.02857142857142857,True,164.0,126.0
Molly,Insecure,1.0,False,0.02857142857142857,True,43.0,24.5
Morgan,Chuck,1.0,False,0.02857142857142857,True,100.0,78.5
Paul,In Treatment,0.9897996272793145,False,0.024872995360751497,True,29.0,20.0
Paul,The Big C,0.9914569104189701,False,0.021798322442770687,True,24.0,18.0
Peter,Millennium,1.0,False,0.02857142857142857,True,73.0,50.0
Randy,Courage the Cowardly Dog,0.9897996272793145,False,0.024872995360751497,True,18.0,10.0
Randy,South Park,0.9897996272793145,False,0.024872995360751497,True,25.0,12.5
Rebecca,Ted Lasso,1.0,False,0.02857142857142857,True,34.0,17.5
Robert,Inspector Lewis,1.0,False,0.02857142857142857,True,63.0,45.0
Robert,The Boondocks,0.9897996272793145,False,0.024872995360751497,True,66.0,50.5
Samantha,Foyle's War,1.0,False,0.02857142857142857,True,155.0,123.0
