firstName,title,p_greater,significant_increase,p_less,significant_decrease,median_pre,median_post
Ali,Da Ali G Show,0.024872995360751497,True,0.9897996272793145,False,24.0,30.0
August,Young Royals,0.02857142857142857,True,1.0,False,20.0,44.0
Blake,Workaholics,0.02857142857142857,True,1.0,False,83.0,124.5
Celeste,Big Little Lies,0.04774161604877365,True,0.9792068293839069,False,5.0,10.0
Charlie,It's Always Sunny in Philadelphia,0.02857142857142857,True,1.0,False,15.0,36.5
Charlie,The League of Gentlemen,0.04774161604877365,True,0.9792068293839069,False,5.0,7.0
Chloe,24,0.024872995360751497,True,0.9897996272793145,False,73.0,99.0
Claire,Claymore,0.02857142857142857,True,1.0,False,50.0,98.0
Clark,Young Justice,0.03591407816048411,True,0.9846232193703628,False,7.0,16.5
Connor,How to Get Away with Murder,0.03723091570870274,True,0.983843544378378,False,119.0,127.5
Dani,Life,0.03591407816048411,True,0.9846232193703628,False,5.0,9.0
Denise,The Royle Family,0.04774161604877365,True,0.9792068293839069,False,4.0,5.5
Dexter,Dexter,0.02857142857142857,True,1.0,False,5.0,16.5
Eleanor,Black Sails,0.021798322442770687,True,0.9914569104189701,False,17.0,52.0
Ellie,Broadchurch,0.02857142857142857,True,1.0,False,37.0,85.5
Emma,The Trip,0.024872995360751497,True,0.9897996272793145,False,241.0,267.0
Eva,Hell on Wheels,0.02857142857142857,True,1.0,False,67.0,79.5
Ezekiel,Supernatural,0.04936432394741246,True,0.9782016775572293,False,3.0,6.0
Faith,Buffy the Vampire Slayer,0.02857142857142857,True,1.0,False,13.0,36.5
Forrest,Review,0.024872995360751497,True,0.9897996272793145,False,2.0,7.5
Francis,House of Cards,0.024872995360751497,True,0.9897996272793145,False,9.0,15.5
Franklin,Snowfall,0.03460017720992414,True,0.9853909513076545,False,6.0,8.0
Gemma,Sons of Anarchy,0.02857142857142857,True,1.0,False,7.0,14.0
Georgia,Dead Like Me,0.04936432394741246,True,0.9782016775572293,False,27.0,35.0
Hannah,Derek,0.02857142857142857,True,1.0,False,125.0,136.5
Henry,Forever,0.02857142857142857,True,1.0,False,93.0,122.5
Henry,Longmire,0.02857142857142857,True,1.0,False,53.0,103.0
Henry,The Americans,0.02857142857142857,True,1.0,False,91.0,114.5
Henry,The Tudors,0.02857142857142857,True,1.0,False,20.0,43.5
Jack,Father Ted,0.02857142857142857,True,1.0,False,18.0,39.0
Jack,Stargate SG-1,0.02857142857142857,True,1.0,False,29.0,62.0
Jake,In Living Color,0.024872995360751497,True,0.9897996272793145,False,13.0,32.0
Jane,The Comeback,0.024872995360751497,True,0.9897996272793145,False,8.0,13.5
Jay,The Good Fight,0.02857142857142857,True,1.0,False,7.0,12.5
John,TURN: Washington's Spies,0.02857142857142857,True,1.0,False,75.0,100.0
John,The Knick,0.02857142857142857,True,1.0,False,75.0,100.0
Julian,Trailer Park Boys,0.024872995360751497,True,0.9897996272793145,False,19.0,26.0
Leanne,Code Black,0.04936432394741246,True,0.9782016775572293,False,6.0,7.5
Livia,Journeyman,0.03591407816048411,True,0.9846232193703628,False,4.0,10.0
Martin,Moone Boy,0.024872995360751497,True,0.9897996272793145,False,11.0,21.0
Mathias,Call My Agent!,0.04936432394741246,True,0.9782016775572293,False,7.0,9.0
Max,United States of Tara,0.02857142857142857,True,1.0,False,44.0,64.5
Miles,Get Shorty,0.02857142857142857,True,1.0,False,30.0,41.5
Morgan,Gargoyles,0.02857142857142857,True,1.0,False,112.0,147.0
Oliver,The Thick of It,0.02857142857142857,True,1.0,False,20.0,54.5
Olivia,Fringe,0.02857142857142857,True,1.0,False,174.0,252.0
Olivia,Law & Order: Special Victims Unit,0.02857142857142857,True,1.0,False,61.0,108.5
Penny,Miranda,0.02281389449156969,True,0.990917617216071,False,1.0,7.0
Piper,Orange Is the New Black,0.02857142857142857,True,1.0,False,41.0,72.0
Silas,Kings,0.024872995360751497,True,0.9897996272793145,False,15.0,28.0
Thomas,Peaky Blinders,0.024872995360751497,True,0.9897996272793145,False,88.0,115.0
Vera,Wentworth,0.024872995360751497,True,0.9897996272793145,False,4.0,13.0
Veronica,Veronica Mars,0.02383905156801093,True,0.9903650331677201,False,11.0,17.0
Vincent,Entourage,0.024872995360751497,True,0.9897996272793145,False,17.0,28.0
Violet,Vicious,0.02857142857142857,True,1.0,False,51.0,80.0
Zoë,Firefly,0.02857142857142857,True,1.0,False,7.0,15.0
